# uniform1 uniform2 gaussian1 gaussian2
  0.836059 0.114945 0.124190 1.091372
  0.482656 0.874546 0.194389 -0.873179
  0.112927 0.115273 -0.172469 -0.543227
  0.115270 0.078265 0.928186 0.846087
  0.212085 0.871576 -0.456310 -1.225736
  0.328045 0.706378 0.959659 -0.361207
  0.422709 0.409554 0.074011 0.200704
  0.851268 0.149959 -0.201143 -0.445392
  0.462776 0.966779 0.065295 0.865909
  0.977287 0.264935 -0.695726 1.074760
  0.642812 0.674595 -0.319097 1.433750
  0.468921 0.978370 -0.776374 0.481635
  0.178957 0.075613 -0.622768 -0.223107
  0.232400 0.954110 -1.577100 -0.640585
  0.645592 0.223692 -1.665758 0.076824
  0.665807 0.278919 0.585861 -0.340942
  0.935156 0.105248 1.150912 0.583940
  0.699505 0.461319 -0.768781 0.610608
  0.592161 0.161737 -1.615785 -2.272809
  0.002836 0.896990 -0.143909 1.958565
  0.478256 0.617682 -0.875272 1.251983
  0.182209 0.315750 0.255662 1.622409
  0.102904 0.815817 -0.450399 -0.060794
  0.766894 0.626839 -2.049214 -0.584441
  0.768524 0.200038 -1.358457 -0.622169
  0.866599 0.833758 -0.462939 0.014930
  0.039017 0.438868 0.602591 -0.346271
  0.844380 0.266024 -0.180389 0.518796
  0.774124 0.261567 -0.513395 -1.003279
  0.098118 0.230182 1.531096 1.577507
  0.272267 0.092800 -0.931270 -1.363641
  0.153579 0.463662 -1.553175 0.543065
  0.936179 0.321455 1.371295 0.105557
  0.046781 0.472944 1.605713 -1.373475
  0.011794 0.367113 0.798017 -2.677436
  0.311523 0.599742 -0.896199 0.370798
  0.222314 0.396022 2.615160 2.148198
  0.596776 0.278551 0.930643 -0.376160
  0.086428 0.406599 0.148487 -2.015319
  0.986540 0.013385 -1.220128 -2.394342
  0.742606 0.239857 0.051875 -0.237544
  0.408192 0.621801 -0.537510 0.148791
  0.039171 0.417139 -0.715160 1.060202
  0.616782 0.083893 1.445887 -0.554494
  0.536048 0.327790 1.922186 -1.420630
  0.534476 0.200709 -0.121543 0.373191
  0.101133 0.621386 -0.218433 -0.557075
  0.588859 0.961496 1.406982 -0.664396
  0.150825 0.039476 -0.952832 -0.806627
  0.785696 0.932602 0.550607 -0.258968
  0.232631 0.407975 0.175468 -0.760997
  0.879266 0.723669 1.485164 0.969034
  0.644880 0.375315 -1.496427 -0.109643
  0.857774 0.946909 0.293467 0.197835
  0.277677 0.656201 -0.538398 -0.158932
  0.960881 0.136683 0.681464 1.530080
  0.344139 0.379641 0.554838 0.094228
  0.814798 0.900819 0.032104 -0.419468
  0.428209 0.625468 -1.757677 -0.675196
  0.960363 0.818407 -0.996132 -1.172746
  0.548011 0.606189 -0.024819 1.537805
  0.097836 0.217852 -2.307633 0.367558
  0.255283 0.509960 -0.420569 -1.537832
  0.539840 0.126596 -1.591154 -0.171742
  0.457652 0.014313 0.053646 1.769954
  0.711598 0.528015 0.086533 -0.188674
  0.917353 0.665807 -0.220843 0.329258
  0.470549 0.206324 -1.424172 -2.206625
  0.087618 0.444212 0.816427 1.361064
  0.894785 0.622348 0.288082 0.160485
  0.953168 0.594211 0.661907 1.277256
  0.513450 0.488390 0.149633 -0.815397
  0.995595 0.380430 0.792640 1.363201
  0.748295 0.641716 -0.049654 2.614334
  0.547489 0.226129 -1.858532 -0.627294
  0.932905 0.542004 0.847981 2.064495
  0.863356 0.961793 1.637121 -0.295902
  0.306613 0.092489 0.338853 -0.496149
  0.035091 0.257191 0.189447 1.072470
  0.487152 0.784686 1.479600 -1.381194
  0.442791 0.922096 -0.062163 -0.978068
  0.907390 0.403755 -0.909233 -0.410032
  0.063165 0.033165 0.132623 0.382854
  0.254895 0.990770 -0.001194 -1.027267
  0.746524 0.188149 -0.702851 -0.781463
  0.254688 0.865810 -0.456781 -0.076619
  0.974191 0.410129 0.488962 -0.279885
  0.168309 0.225427 -1.471876 -2.679676
  0.043341 0.503765 -0.243460 -1.887413
  0.778788 0.368141 -0.042415 -0.904966
  0.762878 0.666967 -2.848530 1.340449
  0.499771 0.308310 0.411203 -0.553161
  0.975361 0.851046 -0.381187 -0.732618
  0.476283 0.893878 -0.281425 1.875741
  0.716863 0.194863 -0.254335 0.631730
  0.558026 0.518105 1.588798 1.294049
  0.782478 0.893573 0.089367 0.270967
  0.723526 0.704341 -0.044869 -0.957581
  0.537797 0.276038 -0.623399 1.199831
  0.669375 0.029381 -0.680763 -1.108827
  0.025585 0.284717 0.916622 1.721779
  0.701619 0.089188 0.345898 -0.340960
  0.459290 0.248594 1.274415 0.120404
  0.266162 0.583850 1.090274 -1.868491
  0.958347 0.501607 -0.095223 0.605987
  0.320275 0.990496 0.459439 -0.739309
  0.217927 0.829450 -1.041356 0.438740
  0.654526 0.185188 0.814198 1.506159
  0.049884 0.381887 2.122045 -0.558376
  0.357997 0.343572 -0.100178 0.236262
  0.431236 0.647940 1.148054 0.022852
  0.471226 0.674985 -0.557549 0.141223
  0.599286 0.845433 -0.248987 0.751485
  0.816063 0.148153 -0.123170 -0.434994
  0.202741 0.432405 -1.232415 -1.217948
  0.020981 0.165212 0.557544 -0.004705
  0.807588 0.536947 0.258271 -0.753864
  0.821187 0.737323 0.518736 0.480299
  0.870161 0.632192 -0.447794 -1.648350
  0.451247 0.104288 -2.778388 1.874543
  0.955888 0.717734 1.561151 -0.613151
  0.731720 0.199888 0.341855 -0.709430
  0.029393 0.701644 -0.012310 0.983732
  0.263191 0.881817 -0.476370 1.758503
  0.829538 0.970080 -0.842857 0.890171
  0.196228 0.452678 -0.344903 -1.473332
  0.427926 0.811789 1.756558 -1.028883
  0.746610 0.649150 0.252348 -1.355352
  0.630877 0.406620 0.135335 -1.467230
  0.243967 0.327254 -1.589804 -0.322714
  0.997831 0.711662 1.120200 -1.332470
  0.066728 0.445368 -2.063278 0.386384
  0.456124 0.623850 1.990917 -0.490325
  0.057135 0.343236 -0.893664 0.143579
  0.511920 0.778987 -0.711603 -1.139554
  0.996055 0.108110 -0.857720 0.745432
  0.374095 0.200883 0.068174 -0.305379
  0.435407 0.574559 -0.183025 0.787023
  0.292748 0.749922 -0.432719 0.413683
  0.212074 0.298294 0.288351 -0.107303
  0.437096 0.800368 -0.295126 -1.794046
  0.232099 0.422931 -0.238675 1.457908
  0.410621 0.610032 -1.853634 0.140076
  0.490945 0.021366 -0.378057 0.353790
  0.216582 0.340034 0.486440 -1.985370
  0.316111 0.277573 2.366324 -1.160058
  0.591986 0.162786 0.682697 -1.240208
  0.485386 0.705809 1.276746 -0.148625
  0.327114 0.934352 1.522751 -0.269990
  0.423288 0.305270 -0.667580 0.741149
  0.277875 0.785340 -1.204261 -0.778364
  0.711263 0.743605 -0.194761 -0.755541
  0.976600 0.136926 -0.445884 0.381717
  0.894864 0.634198 0.457918 -0.172922
  0.884081 0.297579 0.383466 -1.812280
  0.183728 0.124227 1.400089 -2.185236
  0.712482 0.508306 0.311195 1.250620
  0.269005 0.082441 0.754341 0.451946
  0.828479 0.750931 -2.303517 0.330263
  0.580468 0.747237 0.858609 -0.647271
  0.333135 0.887406 -1.460299 2.399448
  0.096940 0.699371 0.474796 0.520705
  0.115443 0.374153 -0.352030 -0.678725
  0.743894 0.651990 0.394517 0.856099
  0.855434 0.084364 0.189280 -0.574802
  0.794285 0.884405 -0.102080 1.671230
  0.600736 0.282199 -0.274721 0.490763
  0.260016 0.369230 -0.452882 -0.368034
  0.481415 0.738064 0.341117 1.092446
  0.965925 0.011501 -0.137627 0.245541
  0.471562 0.062743 -0.048143 1.822126
  0.177711 0.618085 -0.545632 -1.137017
  0.016154 0.312715 -1.477127 0.174286
  0.062531 0.109385 1.332235 -1.117066
  0.174356 0.701784 -1.054299 0.306697
  0.608046 0.928309 -0.547284 0.542446
  0.744201 0.593278 0.300769 0.591168
  0.387142 0.174040 -0.215381 -0.063188
  0.607423 0.491693 -0.315934 0.993465
  0.642567 0.587443 -0.653625 -0.352309
  0.475454 0.872212 -0.179854 0.706112
  0.193932 0.271147 -0.367854 -0.778645
  0.822688 0.818179 -1.863486 0.783678
  0.036402 0.933588 -0.757854 -0.715793
  0.554660 0.527802 -1.023595 1.619742
  0.159661 0.598483 0.532495 0.156695
  0.788078 0.300802 -0.748150 -1.579927
  0.022601 0.281353 -0.059550 -0.876242
  0.217705 0.355495 0.493507 0.865996
  0.077286 0.039968 -1.117386 1.267369
  0.537653 0.684979 -0.977970 -1.466381
  0.147988 0.100498 0.950135 0.412901
  0.178823 0.449069 -0.403470 -0.045222
  0.790145 0.287003 -0.093063 -2.478714
  0.819828 0.938246 -0.501531 -0.586369
  0.646125 0.532225 -0.473655 -0.408332
  0.235524 0.751340 -0.393303 1.162435
  0.213450 0.868698 -0.693925 0.564113
  0.952925 0.468620 0.479155 0.014324
  0.593539 0.605240 0.118190 0.936228
  0.995623 0.108814 0.649876 -0.446703
  0.519620 0.753403 -0.034222 0.381785
  0.863754 0.421957 0.104854 -0.412814
  0.822726 0.037912 1.577572 0.345765
  0.402946 0.127807 1.180807 1.625870
  0.399513 0.652969 0.712263 1.330277
  0.023991 0.972838 1.154075 0.701446
  0.989070 0.742762 0.220988 -0.580950
  0.320361 0.913365 -1.131187 -0.378111
  0.985110 0.219711 -2.891524 0.957358
  0.183201 0.673981 -0.846685 -0.029769
  0.105422 0.186054 -0.974254 0.663273
  0.654868 0.881124 -0.383179 2.775071
  0.111742 0.153129 -1.390792 -0.649633
  0.944131 0.462887 1.799838 0.483687
  0.093169 0.648497 -1.198775 -0.059351
  0.073403 0.688283 -0.960621 -0.681080
  0.261094 0.711602 1.268330 -0.776479
  0.717057 0.184860 -1.406167 0.820579
  0.010794 0.344929 -0.263724 0.102600
  0.308551 0.513078 -1.163291 0.294762
  0.440868 0.624992 0.755495 -0.991531
  0.838336 0.513052 -0.487396 -0.408327
  0.339084 0.870873 0.117155 -0.051257
  0.562669 0.228336 -0.551481 0.964825
  0.742183 0.776416 0.087463 0.032481
  0.955135 0.042185 1.464499 -0.865612
  0.112128 0.078309 -0.181038 -0.328423
  0.123373 0.694719 0.377507 0.402212
  0.567157 0.430677 0.383534 -0.237041
  0.932295 0.880641 1.726034 -2.159142
  0.108099 0.567706 0.678135 0.307906
  0.780244 0.532196 -1.008363 -2.956598
  0.010410 0.873243 -0.242671 -0.456033
  0.234790 0.241917 0.105417 -0.412852
  0.421179 0.929382 -0.400805 0.730736
  0.526538 0.960433 -0.769140 -0.416783
  0.742186 0.967490 -0.584443 -0.385733
  0.130411 0.584761 0.558005 0.632563
  0.314397 0.468615 -0.227140 -0.091893
  0.303179 0.392285 -0.444587 -0.427811
  0.134273 0.032866 -1.080976 0.213106
  0.629098 0.569294 -0.690166 -0.407500
  0.860461 0.067772 -1.507444 -0.839710
  0.842624 0.416903 1.313573 -2.697959
  0.235460 0.709329 -1.423814 -0.665562
  0.881873 0.741177 0.817780 -0.423074
  0.835548 0.866651 -0.538475 -0.636611
  0.751559 0.935390 1.370835 -2.662706
  0.262104 0.425063 -1.356373 -0.011098
  0.508068 0.863088 0.990955 -0.693274
  0.179627 0.424859 -1.022243 1.168133
  0.663378 0.367733 0.251615 -0.636254
  0.892693 0.657691 0.719779 0.225043
  0.806424 0.891579 1.211967 -0.384333
  0.303400 0.698581 0.323913 -1.263339
  0.588086 0.933287 -0.179316 0.561252
  0.850908 0.319535 -0.993612 -0.638456
  0.641622 0.741267 -0.264801 1.182575
  0.157274 0.531033 0.222971 -0.149166
  0.140789 0.132048 0.541575 0.062811
  0.281831 0.272252 0.025657 -1.125654
  0.853527 0.524621 1.375662 -1.973289
  0.859139 0.364942 -0.669430 -0.433521
  0.563354 0.231258 0.552751 0.367645
  0.282724 0.553518 -0.903433 1.371372
  0.722490 0.445910 1.711433 0.050810
  0.855063 0.650039 1.200523 -0.220974
  0.451950 0.136792 -0.013272 -0.118110
  0.323408 0.370761 -0.529171 -1.403627
  0.135296 0.134981 0.628800 -1.489390
  0.360076 0.628674 -1.209920 -2.886161
  0.811029 0.739898 1.714756 -0.636017
  0.878987 0.776087 -0.308907 -0.897069
  0.291116 0.486742 -1.280200 1.015321
  0.027626 0.437266 -0.165408 -1.643260
  0.162984 0.717887 -0.326455 -0.234783
  0.644655 0.822823 1.600712 0.077586
  0.571953 0.728566 -0.820128 0.206500
  0.468688 0.569144 -0.383345 1.583552
  0.992899 0.443775 0.304407 -0.696696
  0.771823 0.397400 -0.344641 -1.289185
  0.192989 0.630428 1.064438 -0.237704
  0.500136 0.341195 -0.085328 1.074162
  0.528511 0.854442 1.006173 -0.153543
  0.714708 0.671977 -0.747558 0.139808
  0.193153 0.594765 -1.327356 1.442200
  0.903174 0.040067 0.852470 0.179490
  0.748588 0.699664 -0.476972 -0.074764
  0.613322 0.856802 0.221334 -0.412903
  0.510834 0.462530 0.579875 -0.540842
  0.302241 0.686827 -1.079172 -0.101462
  0.371492 0.721324 0.567060 0.105699
  0.590131 0.938280 -1.604003 -1.624127
  0.346075 0.031352 1.683562 1.658071
  0.335020 0.083565 0.189668 0.564076
  0.152146 0.432759 0.069657 -0.212434
  0.657434 0.414630 -1.438501 -1.289085
  0.605878 0.346679 0.466462 -0.187401
  0.158333 0.158493 -0.534476 -0.569903
  0.040895 0.562214 0.016899 0.604020
  0.104069 0.731881 0.014608 -0.411749
  0.176946 0.929865 -1.050885 -0.872934
  0.168417 0.361356 0.051824 -0.981771
  0.297675 0.135918 -0.723774 0.812192
  0.810387 0.748462 -0.496695 0.184792
  0.526684 0.080786 1.436388 0.654920
  0.851814 0.904561 -1.367761 1.182463
  0.711775 0.013895 0.741340 0.653627
  0.603212 0.635014 0.121253 -1.376265
  0.280730 0.879872 2.017623 -0.203521
  0.040870 0.810021 -0.883862 2.012775
  0.606223 0.427005 0.443088 0.395602
  0.512871 0.585071 -0.733817 0.561484
  0.048300 0.221697 0.701433 0.023878
  0.119337 0.381426 0.534180 -0.119289
  0.384393 0.465428 -1.461825 0.042070
  0.585619 0.512974 0.387672 -1.216094
  0.316843 0.888780 0.073657 -0.172230
  0.699370 0.902907 0.340152 -0.635424
  0.932093 0.167388 -1.285178 -0.784354
  0.064770 0.628636 0.146840 -0.675725
  0.574122 0.436816 -0.512160 0.908430
  0.223715 0.306125 -1.553138 0.143184
  0.133234 0.698027 0.906918 0.556207
  0.821864 0.349759 0.153437 2.774730
  0.990824 0.423008 -0.315456 0.069682
  0.525892 0.097778 -0.122811 -1.378535
  0.948980 0.216062 -0.518722 0.632632
  0.483924 0.362370 -0.942836 -0.989674
  0.008840 0.194560 -2.244939 -1.128597
  0.115832 0.301941 -0.628457 -1.234202
  0.026988 0.925426 1.094511 0.183842
  0.806391 0.634045 0.844298 -0.430194
  0.545676 0.845739 -1.414325 -1.801133
  0.228640 0.072249 0.376667 0.879131
  0.878954 0.148164 0.706244 1.361785
  0.700409 0.433241 -0.041671 -1.032810
  0.022992 0.148237 0.109680 1.052121
  0.606977 0.260746 0.676218 0.421874
  0.256742 0.644023 0.268619 1.390708
  0.425995 0.216973 -0.665721 -1.076748
  0.978555 0.087314 0.601149 -1.360706
  0.965571 0.078696 2.491960 -0.886013
  0.679983 0.207344 -0.385920 -0.733670
  0.379988 0.362674 -1.121894 1.487667
  0.094570 0.604981 2.184904 3.824419
  0.601575 0.832179 -0.709295 -0.929998
  0.081814 0.611751 -0.069825 1.863746
  0.576142 0.843187 -2.467570 0.345423
  0.796242 0.364913 1.587038 0.340039
  0.813529 0.364172 0.468616 0.037793
  0.902280 0.691650 0.733315 0.461725
  0.044781 0.969584 2.338742 0.357321
  0.851402 0.758040 -2.300763 -1.057957
  0.767672 0.593193 -1.538423 0.523326
  0.447707 0.838196 -0.012927 0.056567
  0.311409 0.484390 1.940686 -0.131967
  0.589780 0.895977 1.280078 0.637177
  0.703785 0.681998 2.029267 -2.140516
  0.135870 0.020547 0.417853 0.270105
  0.165850 0.623884 -0.458844 0.297727
  0.856130 0.734107 1.883614 1.215241
  0.420943 0.661497 0.950612 0.502009
  0.500977 0.938810 2.015175 0.380163
  0.476502 0.952408 -1.792452 -0.481469
  0.650151 0.675021 0.451404 0.261589
  0.212232 0.425586 -1.393825 1.397077
  0.344342 0.803202 -1.835404 0.321610
  0.237290 0.552702 -0.390894 -1.598500
  0.341027 0.258632 -0.788605 -0.890078
  0.753584 0.351498 0.661189 -0.435471
  0.867846 0.845384 -0.457800 0.058429
  0.573102 0.834552 -0.165388 -1.833549
  0.169689 0.906772 -0.727227 -0.065231
  0.008641 0.620242 -1.597098 0.649154
  0.063181 0.583856 -1.028939 0.451367
  0.839735 0.446040 0.596095 -0.142218
  0.552215 0.842450 1.615905 0.070175
  0.921016 0.435128 0.385762 1.082638
  0.518549 0.773730 -2.041425 -1.212252
  0.448307 0.547334 -0.911255 -0.317401
  0.434650 0.807804 -0.482573 1.807396
  0.572190 0.777826 1.752439 0.409184
  0.401675 0.961030 -0.025962 -0.921425
  0.702582 0.995778 0.861782 0.562523
  0.902815 0.747230 -0.150308 -0.476549
  0.535012 0.439075 0.066381 -0.581469
  0.019711 0.583438 1.029860 2.001395
  0.495868 0.520591 0.082099 0.786076
  0.133630 0.363613 1.062750 0.125085
  0.563976 0.364811 -0.899489 -1.706136
  0.850458 0.506162 -1.027727 1.099780
  0.560148 0.315834 0.724172 0.573490
  0.739149 0.614217 0.119834 0.893164
  0.774050 0.825349 -1.179485 0.483106
  0.709688 0.500468 0.580508 -0.656697
  0.861795 0.261375 -0.079376 -0.924752
  0.557520 0.154622 -1.392047 -0.224992
  0.835882 0.130444 0.034683 -0.687562
  0.335654 0.139032 -1.565202 -0.334479
  0.644477 0.179925 -0.112955 0.132508
  0.617494 0.513170 0.198878 0.378519
  0.452318 0.371283 -2.131713 0.778850
  0.657990 0.763345 1.932044 0.184145
  0.098083 0.358369 -1.768912 0.090933
  0.079699 0.798378 -0.074191 0.099316
  0.141651 0.480024 -1.928596 0.031945
  0.347606 0.801553 0.864441 0.566334
  0.584507 0.789085 1.162139 0.968460
  0.517503 0.970503 0.627700 0.646469
  0.921032 0.626889 0.628028 -0.481080
  0.460767 0.973300 -0.129921 0.940629
  0.351232 0.866860 2.061940 -1.385195
  0.632885 0.656072 -1.014940 -0.047696
  0.552282 0.741310 -0.457498 0.594139
  0.168502 0.260751 -0.011319 1.249390
  0.758725 0.774715 0.027418 0.123883
  0.095984 0.338155 0.438158 -1.362662
  0.310668 0.873383 -1.789592 -0.542208
  0.612730 0.638331 0.293796 0.397795
  0.894148 0.166690 0.727016 1.049065
  0.562191 0.949828 -0.729969 -1.401183
  0.694892 0.828054 1.450264 -0.064131
  0.392745 0.474084 -0.450579 0.514374
  0.686552 0.386794 1.470638 -1.576466
  0.125943 0.238791 -1.145626 1.226037
  0.983783 0.929370 0.099929 -0.152516
  0.386976 0.442281 0.696313 0.127344
  0.758590 0.024291 0.023489 0.408800
  0.570612 0.243652 1.016485 -0.579494
  0.897228 0.560733 1.531147 -2.346402
  0.981845 0.172656 1.286709 -0.977610
  0.913562 0.677206 1.917943 0.792911
  0.622151 0.203666 -1.090014 -1.927007
  0.848133 0.543404 2.827644 0.195565
  0.428818 0.151627 0.118472 -1.965703
  0.723858 0.152908 0.610096 -0.142059
  0.487986 0.146040 -0.297459 0.093803
  0.385401 0.215381 -1.036775 -0.327220
